#Starting log sesion
#3/1/2018 1:02:03 PM
cogX , cogY , weight, bl, br, tl, tr, falls
-10.64867,-17.3674,2.455988,-2.702765,0.5057208,10.1055,1.915493,0
-11.55489,-17.03653,2.476057,-2.428571,0.3501144,10.1055,1.877183,0
-10.72907,-16.86887,2.514378,-2.546083,0.5057208,10.14407,1.953803,0
-11.77767,-16.43469,2.496295,-2.428571,0.583524,10.22121,1.609014,0
-10.75883,-15.92513,2.640733,-2.31106,0.583524,10.29836,1.992113,0
-10.96135,-16.83296,2.533725,-2.624424,0.583524,10.33693,1.838873,0
-11.55337,-16.40893,2.563452,-2.389401,0.5057208,10.33693,1.800563,0
-11.86068,-11.16489,4.46032,-0.235023,0.8558353,14.19399,3.026479,0
-12.73722,-4.005365,8.536942,7.951613,3.423341,19.47816,3.294648,0
-11.49327,-4.159762,10.52766,9.20507,4.551487,23.37379,4.980282,0
-11.49327,-4.159762,10.52766,9.20507,4.551487,23.37379,4.980282,0
-10.70776,-4.137131,12.31635,10.77189,5.368421,26.42087,6.704226,0
-10.70776,-4.137131,12.31635,10.77189,5.368421,26.42087,6.704226,0
-10.4047,-1.693866,22.64492,27.65438,11.24256,40.07487,11.60789,0
-10.4047,-1.693866,22.64492,27.65438,11.24256,40.07487,11.60789,0
-10.3315,-0.1758286,34.10192,48.45392,18.75057,53.3046,15.89859,0
-10.27793,-0.002480038,39.90605,57.89401,21.9016,60.98015,18.84845,0
-9.837389,-0.02914322,51.54613,74.09361,28.74828,77.29192,26.0507,0
-9.713889,-0.06981453,56.33174,80.49772,31.5103,84.28007,29.03887,0
-9.483092,-0.1374767,60.75913,85.89269,34.23341,90.50028,32.41014,0
-9.329486,-0.1804549,64.60788,90.86073,36.4119,95.76059,35.39831,0
-9.241023,-0.1392083,67.88065,95.55708,38.62929,99.94579,37.39042,0
-9.218139,-0.1883158,71.0827,99.67123,40.26316,104.8989,39.49746,0
-9.251558,-0.3959892,76.41082,105.726,42.05263,114.4212,43.44338,0
-9.369902,-0.6771537,78.03967,106.1918,41.08009,119.528,45.35887,0
-9.516247,-0.9214482,79.0239,105.5708,40.34096,124.0971,46.08676,0
-9.565714,-1.156045,79.20714,104.0959,39.05721,126.4777,47.19775,0
-9.642091,-1.293131,78.80636,102.4658,38.16247,127.5144,47.08282,0
-9.728255,-1.388922,78.00211,100.8356,37.11213,127.4376,46.6231,0
-9.825893,-1.370336,77.16396,100.137,36.5675,126.4009,45.55042,0
