#Starting log sesion
#3/1/2018 12:45:14 PM
cogX , cogY
NaN,NaN
NaN,NaN
50.31368,65.90195
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
39.08765,56.45967
41.46497,62.45398
41.46497,62.45398
41.46497,62.45398
59.49938,80.56795
54.28272,73.3187
48.23649,70.39081
52.12141,74.05802
41.72869,63.67196
42.33009,62.86135
39.77612,59.1802
49.95764,72.17863
53.98968,75.79924
49.57912,71.8988
53.89885,77.37141
44.66699,60.84373
44.66699,60.84373
46.83884,65.28059
48.32368,65.18764
54.75487,73.85516
54.75487,73.85516
51.15486,71.32223
50.57307,73.15565
48.82742,73.75486
44.17759,61.56731
44.17759,61.56731
50.49517,70.58039
41.11866,62.85133
48.19095,70.16629
53.36474,74.73421
46.05949,63.71756
49.55361,68.75555
45.63376,67.64265
44.4585,64.60803
54.54478,76.92229
44.15516,65.71497
50.01302,71.4493
39.79759,57.93626
51.81107,71.69984
36.85843,54.51649
51.53823,77.68628
46.96021,67.65466
46.85471,64.93234
44.39233,62.17136
45.47884,63.36735
60.21788,83.18457
46.0787,63.71314
44.63785,66.42371
44.63785,66.42371
44.49055,66.51778
44.26023,62.00893
55.28527,76.14117
39.11881,61.06937
53.25188,80.90678
55.35297,77.77641
55.35297,77.77641
47.84486,67.51382
47.43987,67.70388
52.21833,72.53133
42.02171,61.09259
53.06085,77.69446
47.83482,67.51613
47.64229,66.2102
46.05228,64.72292
45.39392,65.05969
44.07241,61.15696
45.45593,68.72887
48.93768,68.38448
48.86143,76.13601
48.22683,71.50584
50.23102,68.0501
45.4813,68.38005
56.41719,81.76144
43.60046,63.68772
43.60046,63.68772
40.59538,59.4947
40.59538,59.4947
44.44501,60.55307
55.91551,78.14841
55.91551,78.14841
49.01342,72.21016
48.89792,72.25914
41.70646,61.77328
51.39461,68.2204
36.14576,53.43536
42.07921,58.89014
43.53709,63.19775
38.02362,55.8591
53.77086,77.71013
44.15818,62.22322
49.54005,69.46638
41.74237,61.13183
46.39104,65.85656
46.39104,65.85656
48.53743,66.46303
40.68215,56.77362
40.65043,57.94575
42.66123,65.12936
51.28982,66.70982
45.61835,64.21983
42.86642,60.4428
51.77791,72.79984
51.77791,72.79984
44.51093,65.83545
44.51093,65.83545
44.36547,59.8565
42.94551,62.2133
46.72315,68.88575
57.96919,80.95964
57.31983,79.29424
46.05789,64.38721
47.84737,66.42676
43.58581,64.0258
39.67202,61.15572
45.8024,62.44596
52.36042,71.55601
51.03297,70.41485
48.90401,69.10023
46.168,66.31419
41.20743,58.56379
40.34203,58.25036
40.89527,60.45039
45.11448,62.6248
45.11448,62.6248
45.9105,67.83949
45.90046,67.84177
40.2146,54.69526
40.2146,54.69526
51.87294,70.22667
40.39524,57.34908
52.36147,76.09715
43.88302,63.27506
40.97501,56.45469
51.08488,67.89845
46.56908,67.49516
48.45913,71.28624
44.59169,63.78025
54.82425,74.36226
46.2209,64.92453
47.0969,64.48835
47.08332,64.15179
42.59497,63.11983
45.93381,66.43758
41.73363,62.8542
47.3634,69.61877
53.05208,76.5123
46.2789,68.71564
42.93598,62.86637
45.05541,63.9583
37.35031,56.7053
37.35031,56.7053
52.25936,77.69938
54.67438,75.42911
43.54689,62.5449
44.08635,60.83696
44.08635,60.83696
44.65294,61.16378
45.28898,63.87823
49.0875,72.03436
49.0875,72.03436
44.20984,64.03109
42.05254,57.95521
41.44902,59.83593
47.12722,69.80502
51.94587,72.20544
47.25664,65.07807
38.12525,57.30769
58.6534,82.26171
41.77024,56.78156
51.29144,70.76037
45.98404,70.33208
56.62519,78.10429
40.2618,61.08278
40.2957,59.82479
45.7057,62.96568
47.00089,67.22221
47.00089,67.22221
43.50915,63.20417
43.50915,63.20417
43.5616,61.56457
60.14692,84.92122
60.14692,84.92122
44.91847,65.26159
41.98969,65.81103
45.32273,59.56469
44.84467,63.36434
53.29723,80.48113
51.45454,73.66586
50.52018,69.84443
39.35398,55.83999
61.76268,87.97994
47.29661,71.07024
57.53623,76.55664
44.38816,61.85137
46.53109,68.55004
39.89785,56.44078
38.74987,56.74084
45.66709,59.5914
41.20793,59.18136
51.72825,73.17484
51.72825,73.17484
42.31147,62.86565
60.20897,82.71346
44.834,64.03637
44.834,64.03637
48.90976,75.34843
46.69188,64.39034
41.71144,58.26783
41.71144,58.26783
42.35795,61.55263
42.35795,61.55263
#Ending log sesion
